"empresa","ano","retorno_anual","ceo","chairman","ibrx","ceo_chair"
"CLSC4",2019,NA,0,0,0,0
"CTIP3",2009,NA,0,0,0,0
"CTIP3",2010,0.69,0,0,1,0
"CTIP3",2011,0.18,0,0,1,0
"CTIP3",2012,-0.04,0,0,1,0
"CTIP3",2013,-0.02,0,0,1,0
"CTIP3",2014,0.41,0,0,1,0
"CTIP3",2015,0.22,0,0,1,0
"CTIP3",2016,0.25,0,0,1,0
"CTIP3",2017,NA,0,0,0,0
"CTIP3",2018,NA,0,0,0,0
"CTIP3",2019,NA,0,0,0,0
"LCAM3",2009,NA,1,1,0,1
"LCAM3",2010,NA,1,1,0,1
"LCAM3",2011,NA,1,1,0,1
"LCAM3",2012,NA,1,1,0,1
"LCAM3",2013,NA,1,1,0,1
"LCAM3",2014,NA,1,1,0,1
"LCAM3",2015,NA,1,0,0,1
"LCAM3",2016,NA,1,0,0,1
"LCAM3",2017,NA,1,0,0,1
"LCAM3",2018,NA,1,0,0,1
"LCAM3",2019,0.85,1,0,1,1
"TRPL4",2009,0.35,0,0,1,0
"TRPL4",2010,0.18,0,0,1,0
"TRPL4",2011,0.19,0,0,1,0
"TRPL4",2012,-0.39,0,0,1,0
"TRPL4",2013,-0.14,0,0,1,0
"TRPL4",2014,NA,0,0,0,0
"TRPL4",2015,0.16,0,0,1,0
"TRPL4",2016,0.47,0,0,1,0
"TRPL4",2017,0.09,0,0,1,0
"TRPL4",2018,0.24,0,0,1,0
"TRPL4",2019,0.39,0,0,1,0
"HGTX3",2009,NA,0,0,0,0
"HGTX3",2010,NA,0,0,0,0
"HGTX3",2011,0.26,0,0,1,0
"HGTX3",2012,0.32,0,0,1,0
"HGTX3",2013,-0.26,0,0,1,0
"HGTX3",2014,-0.3,0,0,1,0
"HGTX3",2015,-0.21,0,0,1,0
"HGTX3",2016,0.07,0,0,1,0
"HGTX3",2017,0.81,0,0,1,0
"HGTX3",2018,0.18,0,0,1,0
"HGTX3",2019,0.2,0,0,1,0
"AMBV3",2009,0.82,0,0,1,0
"AMBV3",2010,NA,0,0,0,0
"AMBV3",2011,NA,0,0,0,0
"AMBV3",2012,0.61,0,0,1,0
"AMBV3",2013,NA,0,0,0,0
"AMBV3",2014,NA,0,0,0,0
"AMBV3",2015,NA,0,0,0,0
"AMBV3",2016,NA,0,0,0,0
"AMBV3",2017,NA,0,0,0,0
"AMBV3",2018,NA,0,0,0,0
"AMBV3",2019,NA,0,0,0,0
"CGAS5",2009,0.11,0,0,1,0
"CGAS5",2010,NA,0,0,0,0
"CGAS5",2011,NA,0,0,0,0
"CGAS5",2012,NA,0,0,0,0
"CGAS5",2013,NA,0,0,0,0
"CGAS5",2014,NA,0,0,0,0
"CGAS5",2015,NA,0,0,0,0
"CGAS5",2016,NA,0,0,0,0
"CGAS5",2017,NA,0,0,0,0
"CGAS5",2018,NA,0,0,0,0
"CGAS5",2019,NA,0,0,0,0
"CSMG3",2009,0.88,0,0,1,0
"CSMG3",2010,-0.07,0,0,1,0
"CSMG3",2011,0.23,0,0,1,0
"CSMG3",2012,0.33,0,0,1,0
"CSMG3",2013,-0.12,0,0,1,0
"CSMG3",2014,NA,0,0,0,0
"CSMG3",2015,-0.38,0,0,1,0
"CSMG3",2016,NA,0,0,0,0
"CSMG3",2017,0.27,0,0,1,0
"CSMG3",2018,0.55,0,0,1,0
"CSMG3",2019,0.14,0,0,1,0
"SAPR11",2009,NA,0,0,0,0
"SAPR11",2010,NA,0,0,0,0
